person_id,first_name,last_name,date_of_birth,driver_license_number,driver_license_state,address_line_1,address_line_2,city,state,postal_code,country,lob_type
3cf3bd58-da60-fb1c-eb7a-79959588532d,Casey,Patel,2010-11-11,CA4391040,CA,100 Main Street,Apt 200,San Mateo,CA,94839,US,Commercial
57810ce8-98f0-1733-d942-b204a30354ef,Casey,Rivera,1988-05-23,NV7964467,NV,101 Main Street,,Las Vegas,NV,89037,US,Personal
bb9d2ebe-f476-092f-40fc-275e69b5220d,Taylor,Thompson,1975-11-15,AZ4547743,AZ,102 Main Street,,Tempe,AZ,85282,US,Commercial
d04883eb-7464-5968-fac1-9bd781637187,Morgan,Zhou,2013-12-12,NV2373850,NV,103 Main Street,Apt 203,Las Vegas,NV,88924,US,Personal
5fdd3a16-8a61-89a7-936c-d61319c06515,Avery,Thompson,2005-09-05,AZ6289928,AZ,104 Main Street,,Tempe,AZ,85277,US,Personal
9e1e266c-642b-5dfc-4f2d-1caeed61ef1f,Avery,Rivera,2005-04-04,AZ5770690,AZ,105 Main Street,,Phoenix,AZ,85136,US,Personal
62de90a9-2d55-e081-b4ba-fea885eb78cd,Alex,Zhou,2009-06-15,CA1879865,CA,106 Main Street,Apt 206,San Mateo,CA,94709,US,Commercial
89ede605-b975-4749-d45b-52d17b3c4b07,Morgan,Thompson,1980-03-24,CA7819682,CA,107 Main Street,,San Mateo,CA,94880,US,Personal
04bcd9ce-2f9a-dc07-eebf-1d7dba72e694,Casey,Thompson,2011-09-04,OR1699955,OR,108 Main Street,,Eugene,OR,97290,US,Personal
67afd069-f095-1fd2-8fcd-d013edc4e3ab,Alex,Rivera,2017-08-06,CA5619530,CA,109 Main Street,Apt 209,Walnut Creek,CA,94601,US,Commercial
af4ea88f-e75f-9338-99e8-b6130fee94e4,Casey,Smith,1995-11-10,AZ3250898,AZ,110 Main Street,,Phoenix,AZ,85128,US,Personal
631996d9-4431-9a55-e426-ef39af2b8395,Avery,Thompson,1990-10-15,OR7455781,OR,111 Main Street,,Eugene,OR,97223,US,Personal
e277543b-1788-e7b0-cb29-05bd52055596,Taylor,Patel,2007-03-14,AZ2005353,AZ,112 Main Street,Apt 212,Tempe,AZ,85039,US,Personal
1ed93c23-6aac-03dd-5d94-6c722dbd56bf,Casey,Smith,2002-05-03,AZ2239740,AZ,113 Main Street,,Tempe,AZ,85216,US,Personal
23549e0e-a2a9-e13e-f854-90da01ac622f,Casey,Thompson,1975-02-11,WA9063186,WA,114 Main Street,,Tacoma,WA,98482,US,Personal
dc917d96-04da-15ec-4dd7-4bb35c640d88,Casey,Patel,1983-03-06,NV2182374,NV,115 Main Street,Apt 215,Las Vegas,NV,88939,US,Commercial
fe23a0d2-276e-fa3e-56ab-511ad10b2f51,Alex,Rivera,2017-03-07,CA5299248,CA,116 Main Street,,Walnut Creek,CA,94608,US,Commercial
7b6d2d12-c7d2-805d-a831-013a1dfb0871,Jordan,Nguyen,1986-07-27,AZ8106335,AZ,117 Main Street,,Tempe,AZ,85017,US,Personal
